,,第一組,,,,,,,,第二組,,,,,,,,第三組,,,,,,,,第四組,,,,,,
0.1N HNO3,,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A)
time(min),,,,,,,,,,,,,,,,,,0.37258,,-0.987303499,0.1424,-1.94911528,0,無,,0.2958,,-1.218071729,0.07512,-2.588668444,0,無
0,,,,,,,,,,,,,,,,,,0.35163,,-1.045175793,0.12145,-2.108252624,0.02095,-3.865616633,,0.36113,,-1.018517275,0.14045,-1.962903725,-0.06533,#NUM!
10,,,,,,,,,,,,,,,,,,0.30427,,-1.189839814,0.07409,-2.602474709,0.06831,-2.68369911,,0.32862,,-1.112853211,0.10794,-2.226179762,-0.03282,#NUM!
20,,,,,,,,,,,,,,,,,,0.28878,,-1.242090126,0.0586,-2.837020582,0.0838,-2.479322271,,0.28893,,-1.241570835,0.06825,-2.684577845,0.00687,-4.980591173
30,,,,,,,,,,,,,,,,,,0.26078,,-1.344078139,0.0306,-3.48675527,0.1118,-2.191043718,,0.27225,,-1.301034517,0.05157,-2.964815171,0.02355,-3.748629459
40,,,,,,,,,,,,,,,,,,0.24739,,-1.39678924,0.01721,-4.062264669,0.12519,-2.077922696,,0.25523,,-1.36559018,0.03455,-3.365347729,0.04057,-3.204726402
50,,,,,,,,,,,,,,,,,,0.23987,,-1.427658169,0.00969,-4.636660853,0.13271,-2.019588983,,0.24368,,-1.41189939,0.023,-3.772261063,0.05212,-2.954206527
60,,,,,,,,,,,,,,,,,,0.23018,,-1.468893667,0,無,0.1424,-1.94911528,,0.23735,,-1.438219434,0.01667,-4.094144582,0.05845,-2.839583591
70,,,,,,,,,,,,,,,,,,,,,,,,,,0.22068,,-1.511041591,0,無,0.07512,-2.588668444
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3N HNO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time(min),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A)
0,,,,,,,,,,,,,,,,,,0.40994,,-0.891744471,0.16478,-1.803144028,0,無,,0.31165,,-1.165874516,0.0816,-2.505926017,0,無
10,,,,,,,,,,,,,,,,,,0.36607,,-1.004930707,0.12091,-2.112708812,0.04387,-3.126524564,,0.37414,,-0.98312522,0.14409,-1.937317175,-0.06249,#NUM!
20,,,,,,,,,,,,,,,,,,0.3285,,-1.113218441,0.08334,-2.484826653,0.08144,-2.507888726,,0.32512,,-1.123560934,0.09507,-2.353141817,-0.01347,#NUM!
30,,,,,,,,,,,,,,,,,,0.28943,,-1.239841807,0.04427,-3.117448032,0.12051,-2.116022542,,0.30013,,-1.203539565,0.07008,-2.658117832,0.01152,-4.463670624
40,,,,,,,,,,,,,,,,,,0.27166,,-1.303203995,0.0265,-3.630610546,0.13828,-1.978474664,,0.28702,,-1.248203379,0.05697,-2.865230465,0.02463,-3.703790067
50,,,,,,,,,,,,,,,,,,0.26233,,-1.338152026,0.01717,-4.064591604,0.14761,-1.913181618,,0.26467,,-1.329271512,0.03462,-3.363323729,0.04698,-3.0580333
60,,,,,,,,,,,,,,,,,,0.24983,,-1.386974592,0.00467,-5.366596207,0.16011,-1.8318942,,0.24544,,-1.404702761,0.01539,-4.174037331,0.06621,-2.71492377
70,,,,,,,,,,,,,,,,,,0.24516,,-1.40584422,0,無,0.16478,-1.803144028,,0.2202,,-1.513219055,-0.00985,#NUM!,0.09145,-2.391962904
80,,,,,,,,,,,,,,,,,,,,,,,,,,0.23005,,-1.469458602,0,無,0.0816,-2.505926017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1N HNO3,,第五組,,,,,,,,第六組,,,,,,,,第七組,,,,,,,,第八組,,,,,,
time(min),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A)
0,,0.3962,,-0.925836145,0.14909,-1.903205129,0,無,,0.37154,,-0.990098749,0.12947,-2.044306085,0,無,,0.29825,,-1.209823218,0.06904,-2.673069232,0,無,,0.38599,,-0.951943817,0.14622,-1.922642942,0,無
10,,0.36629,,-1.00432991,0.11918,-2.127120324,0.02991,-3.509562406,,0.34453,,-1.06557411,0.10246,-2.2782828,0.02701,-3.611548111,,0.35692,,-1.030243612,0.12771,-2.05799321,-0.05867,#NUM!,,0.3471,,-1.058142356,0.10733,-2.231847078,0.03889,-3.247018131
20,,0.27799,,-1.280170137,0.03088,-3.477646554,0.11821,-2.135292575,,0.29889,,-1.207679666,0.05682,-2.867866903,0.07265,-2.622101889,,0.29843,,-1.20921988,0.06922,-2.670465441,-0.00018,#NUM!,,0.29099,,-1.234466377,0.05122,-2.971625198,0.095,-2.353878387
